id,category_id,voice_url,image_url,romanji,hiragana_katakana,ja-JP,id-ID
1,6,,,jikan,じかん,時間,waktu
2,6,,,gozen,ごぜん,午前,"pagi, a.m."
3,6,,,gogo,ごご,午後,sore p.m
4,6,,,saki,さき,先,lebih dulu
5,6,,,ima,いま,今,sekarang
6,6,,,asa,あさ,朝,pagi
7,6,,,hiru,ひる,昼,siang
8,6,,,yuugata,ゆうがた,夕方,sore
9,6,,,"yoru, ban",よる / ばん,"夜, 晩",malam
10,6,,,mainichi,まいにち,毎日,setiap hari
11,6,,,maiasa,まいあさ,毎朝,setiap pagi
12,6,,,maiban,まいばん,毎晩,setiap malam
13,6,,,maishuu,まいしゅう,毎週,setiap minggu
14,6,,,maitsuki/maigetsu,まいつき / まいげつ,毎月,setiap bulan
15,6,,,maitoshi/mainen,まいとし / まいねん,毎年,setiap tahun
16,6,,,kesa,けさ,今朝,"tadi pagi, pagi ini"
17,6,,,konban,こんばん,今晩,malam ini
18,6,,,konshuu,こんしゅ,今週,minggu ini
19,6,,,kon'getsu,こんげつ,今月,bulan ini
20,6,,,kotoshi,ことし,今年,tahun ini
21,6,,,ototoi,おととい,一昨日,kemarin dulu
22,6,,,"yuube, sakuya","ゆうべ, さくや","夕べ, 昨夜","tadi malam, kemarin malam"
23,6,,,kinou,きのう,昨日,kemarin
24,6,,,kyou,きょう,今日,hari ini
25,6,,,ashita,あした,明日,besok
26,6,,,asatte,あさって,明後日,lusa
27,6,,,sensenshuu,せんせんしゅう,先々週,2 minggu yang lalu
28,6,,,senshuu,せんしゅう,先週,minggu lalu
29,6,,,konshuu,こんしゅう,今週,minggu ini
30,6,,,raishuu,らいしゅう,来週,minggu depan
31,6,,,saraishuu,さらいしゅう,再来週,2 minggu yang akan datang
32,6,,,sensen'getsu,せんせんげつ,先々月,2 bulan yang lalu
33,6,,,sen'getsu,せんげつ,先月,bulan lalu
34,6,,,kon'getsu,こんげつ,今月,bulan ini
35,6,,,raigetsu,らいげつ,来月,bulan depan
36,6,,,saraigetsu,さらいげつ,再来月,2 bulan yang akan datang
37,6,,,ototoshi,おととし,一昨年,2 tahun yang lalu
38,6,,,kyonen,きょねん,去年,tahun lalu
39,6,,,kotoshi,ことし,今年,tahun ini
40,6,,,rainen,らいねん,来年,tahun depan
41,6,,,sarainen,さらいねん,再来年,2 tahun yang akan datang
