id,kanji,stroke,level
1,先,6,N5
2,生,5,N5
3,学,5,N5
4,人,2,N5
5,一,1,N5
6,二,2,N5
7,三,3,N5
8,四,5,N5
9,五,4,N5
10,六,4,N5
11,七,2,N5
12,八,2,N5
13,九,2,N5
14,十,2,N5
15,百,6,N5
16,千,3,N5
17,万,3,N5
18,円,4,N5
19,時,10,N5
20,分,4,N5
21,半,5,N5
22,何,7,N5
23,日,4,N5
24,本,5,N5
25,月,4,N5
26,火,4,N5
27,水,4,N5
28,木,4,N5
29,金,8,N5
30,土,3,N5
31,年,6,N5
32,今,4,N5
33,毎,6,N5
34,午,4,N5
35,前,9,N5
36,後,9,N5
37,上,3,N5
38,下,3,N5
39,中,4,N5
40,大,3,N5
41,小,3,N5
42,高,10,N5
43,安,6,N5
44,新,13,N5
45,古,5,N5
46,長,8,N5
47,短,12,N5
48,多,6,N5
49,少,4,N5
50,好,6,N5
51,来,7,N5
52,行,6,N5
53,帰,10,N5
54,食,9,N5
55,飲,12,N5
56,買,12,N5
57,売,7,N5
58,見,7,N5
59,聞,14,N5
60,話,13,N5
61,読,14,N5
62,書,10,N5
63,作,7,N5
64,会,6,N5
65,言,7,N5
66,思,9,N5
67,知,8,N5
68,出,5,N5
69,入,2,N5
70,立,5,N5
71,休,6,N5
72,働,13,N5
73,勉,10,N5
74,強,11,N5
75,友,4,N5
76,家,10,N5
77,車,7,N5
78,電,13,N5
79,駅,14,N5
80,店,8,N5
81,病,10,N5
82,院,10,N5
83,銀,14,N5
84,社,7,N5
85,校,10,N5
86,国,8,N5
87,外,5,N5
88,内,4,N5
89,左,5,N5
90,右,5,N5
91,東,8,N5
92,西,6,N5
93,南,9,N5
94,北,5,N5
95,口,3,N5
96,目,5,N5
97,手,4,N5
98,足,7,N5
99,耳,6,N5
100,名,6,N5
101,私,7,N5
102,母,5,N5
103,父,4,N5
