id,kanji_id,ja-Hira,ja-Latn
1,1,さき,saki
2,4,ひと,hito
3,5,ひとつ,hitotsu
4,6,ふたつ,futatsu
5,7,みっつ,mittsu
6,8,よっつ,yottsu
7,9,いつつ,itsutsu
8,10,むっつ,muttsu
9,11,ななつ,nanatsu
10,12,やっつ,yattsu
11,13,ここのつ,kokonotsu
12,14,とお,too
13,19,ひ,hi
14,20,かぞ,kazo
15,21,はん,han
16,23,なに,nani
17,24,ほん,hon
18,25,つき,tsuki
19,26,ひ,hi
20,27,みず,mizu
21,28,き,ki
22,30,つち,tsuchi
23,31,とし,toshi
24,32,いま,ima
25,34,ひる,hiru
26,35,まえ,mae
27,36,のち,nochi
28,37,うえ,ue
29,38,した,shita
30,39,なか,naka
31,40,おお,oo
32,41,ちい,chii
33,42,たか,taka
34,43,やす,yasu
35,44,あたら,atara
36,45,ふる,furu
37,46,なが,naga
38,47,みじか,mijika
39,48,おお,oo
40,49,すく,suku
41,50,す,su
42,51,く,ku
43,52,い,i
44,53,かえ,kae
45,54,た,ta
46,55,の,no
47,56,か,ka
48,57,う,u
49,58,み,mi
50,59,き,ki
51,60,はな,hana
52,61,よ,yo
53,62,か,ka
54,63,つく,tsuku
55,65,い,i
56,66,おも,omo
57,67,し,shi
58,68,で,de
59,69,はい,hai
60,70,た,ta
61,71,やす,yasu
62,72,はたら,hatara
63,75,とも,tomo
64,76,いえ,ie
65,77,くるま,kuruma
66,82,やしろ,yashiro
67,87,そと,soto
68,88,うち,uchi
69,89,ひだり,hidari
70,90,みぎ,migi
71,95,ひがし,higashi
72,96,にし,nishi
73,97,みなみ,minami
74,98,きた,kita
75,99,くち,kuchi
76,100,め,me
77,101,て,te
78,102,あし,ashi
79,103,みみ,mimi
80,104,な,na
81,105,わたし,watashi
82,106,はは,haha
83,107,ちち,chichi
